participant,phase,condition,block,item_id,rating,qtext
User7,Practice,Static,LearningExp,QID3_2,2.0,2. The static ghost hand's finger motion was easy to follow.
User8,Practice,Static,LearningExp,QID3_2,4.0,2. The static ghost hand's finger motion was easy to follow.
User9,Practice,Static,LearningExp,QID3_2,4.0,2. The static ghost hand's finger motion was easy to follow.
User10,Practice,Static,LearningExp,QID3_2,4.0,2. The static ghost hand's finger motion was easy to follow.
User11,Practice,Static,LearningExp,QID3_2,2.0,2. The static ghost hand's finger motion was easy to follow.
User12,Practice,Static,LearningExp,QID3_2,5.0,2. The static ghost hand's finger motion was easy to follow.
User13,Practice,Static,LearningExp,QID3_2,4.0,2. The static ghost hand's finger motion was easy to follow.
User14,Practice,Static,LearningExp,QID3_2,3.0,2. The static ghost hand's finger motion was easy to follow.
User15,Practice,Static,LearningExp,QID3_2,5.0,2. The static ghost hand's finger motion was easy to follow.
User16,Practice,Static,LearningExp,QID3_2,4.0,2. The static ghost hand's finger motion was easy to follow.
User17,Practice,Static,LearningExp,QID3_2,4.0,2. The static ghost hand's finger motion was easy to follow.
User18,Practice,Static,LearningExp,QID3_2,3.0,2. The static ghost hand's finger motion was easy to follow.
User19,Practice,Static,LearningExp,QID3_2,4.0,2. The static ghost hand's finger motion was easy to follow.
User20,Practice,Static,LearningExp,QID3_2,4.0,2. The static ghost hand's finger motion was easy to follow.
User21,Practice,Static,LearningExp,QID3_2,3.0,2. The static ghost hand's finger motion was easy to follow.
User22,Practice,Static,LearningExp,QID3_2,4.0,2. The static ghost hand's finger motion was easy to follow.
User23,Practice,Static,LearningExp,QID3_2,4.0,2. The static ghost hand's finger motion was easy to follow.
User24,Practice,Static,LearningExp,QID3_2,5.0,2. The static ghost hand's finger motion was easy to follow.
User25,Practice,Static,LearningExp,QID3_2,3.0,2. The static ghost hand's finger motion was easy to follow.
User26,Practice,Static,LearningExp,QID3_2,4.0,2. The static ghost hand's finger motion was easy to follow.
User27,Practice,Static,LearningExp,QID3_2,4.0,2. The static ghost hand's finger motion was easy to follow.
User28,Practice,Static,LearningExp,QID3_2,4.0,2. The static ghost hand's finger motion was easy to follow.
User29,Practice,Static,LearningExp,QID3_2,5.0,2. The static ghost hand's finger motion was easy to follow.
User30,Practice,Static,LearningExp,QID3_2,3.0,2. The static ghost hand's finger motion was easy to follow.
User1,Practice,Static,LearningExp,QID3_3,3.0,3. Following the static ghost hand made the learning process easier.
User2,Practice,Static,LearningExp,QID3_3,5.0,3. Following the static ghost hand made the learning process easier.
User3,Practice,Static,LearningExp,QID3_3,4.0,3. Following the static ghost hand made the learning process easier.
User4,Practice,Static,LearningExp,QID3_3,5.0,3. Following the static ghost hand made the learning process easier.
User5,Practice,Static,LearningExp,QID3_3,3.0,3. Following the static ghost hand made the learning process easier.
User6,Practice,Static,LearningExp,QID3_3,4.0,3. Following the static ghost hand made the learning process easier.
User7,Practice,Static,LearningExp,QID3_3,4.0,3. Following the static ghost hand made the learning process easier.
User8,Practice,Static,LearningExp,QID3_3,4.0,3. Following the static ghost hand made the learning process easier.
User9,Practice,Static,LearningExp,QID3_3,4.0,3. Following the static ghost hand made the learning process easier.
User10,Practice,Static,LearningExp,QID3_3,3.0,3. Following the static ghost hand made the learning process easier.
User11,Practice,Static,LearningExp,QID3_3,3.0,3. Following the static ghost hand made the learning process easier.
User12,Practice,Static,LearningExp,QID3_3,5.0,3. Following the static ghost hand made the learning process easier.
User13,Practice,Static,LearningExp,QID3_3,4.0,3. Following the static ghost hand made the learning process easier.
User14,Practice,Static,LearningExp,QID3_3,4.0,3. Following the static ghost hand made the learning process easier.
User15,Practice,Static,LearningExp,QID3_3,5.0,3. Following the static ghost hand made the learning process easier.
User16,Practice,Static,LearningExp,QID3_3,5.0,3. Following the static ghost hand made the learning process easier.
User17,Practice,Static,LearningExp,QID3_3,4.0,3. Following the static ghost hand made the learning process easier.
User18,Practice,Static,LearningExp,QID3_3,4.0,3. Following the static ghost hand made the learning process easier.
User19,Practice,Static,LearningExp,QID3_3,3.0,3. Following the static ghost hand made the learning process easier.
User20,Practice,Static,LearningExp,QID3_3,4.0,3. Following the static ghost hand made the learning process easier.
User21,Practice,Static,LearningExp,QID3_3,4.0,3. Following the static ghost hand made the learning process easier.
User22,Practice,Static,LearningExp,QID3_3,4.0,3. Following the static ghost hand made the learning process easier.
User23,Practice,Static,LearningExp,QID3_3,4.0,3. Following the static ghost hand made the learning process easier.
User24,Practice,Static,LearningExp,QID3_3,5.0,3. Following the static ghost hand made the learning process easier.
User25,Practice,Static,LearningExp,QID3_3,3.0,3. Following the static ghost hand made the learning process easier.
User26,Practice,Static,LearningExp,QID3_3,3.0,3. Following the static ghost hand made the learning process easier.
User27,Practice,Static,LearningExp,QID3_3,3.0,3. Following the static ghost hand made the learning process easier.
User28,Practice,Static,LearningExp,QID3_3,4.0,3. Following the static ghost hand made the learning process easier.
User29,Practice,Static,LearningExp,QID3_3,5.0,3. Following the static ghost hand made the learning process easier.
User30,Practice,Static,LearningExp,QID3_3,4.0,3. Following the static ghost hand made the learning process easier.
User1,Practice,Static,LearningExp,QID3_4,3.0,4. The static ghost hand improved my timing and finger placement.
User2,Practice,Static,LearningExp,QID3_4,5.0,4. The static ghost hand improved my timing and finger placement.
User3,Practice,Static,LearningExp,QID3_4,4.0,4. The static ghost hand improved my timing and finger placement.
User4,Practice,Static,LearningExp,QID3_4,4.0,4. The static ghost hand improved my timing and finger placement.
User5,Practice,Static,LearningExp,QID3_4,3.0,4. The static ghost hand improved my timing and finger placement.
User6,Practice,Static,LearningExp,QID3_4,3.0,4. The static ghost hand improved my timing and finger placement.
User7,Practice,Static,LearningExp,QID3_4,2.0,4. The static ghost hand improved my timing and finger placement.
User8,Practice,Static,LearningExp,QID3_4,3.0,4. The static ghost hand improved my timing and finger placement.
User9,Practice,Static,LearningExp,QID3_4,3.0,4. The static ghost hand improved my timing and finger placement.
User10,Practice,Static,LearningExp,QID3_4,2.0,4. The static ghost hand improved my timing and finger placement.
User11,Practice,Static,LearningExp,QID3_4,3.0,4. The static ghost hand improved my timing and finger placement.
User12,Practice,Static,LearningExp,QID3_4,5.0,4. The static ghost hand improved my timing and finger placement.
User13,Practice,Static,LearningExp,QID3_4,4.0,4. The static ghost hand improved my timing and finger placement.
User14,Practice,Static,LearningExp,QID3_4,3.0,4. The static ghost hand improved my timing and finger placement.
User15,Practice,Static,LearningExp,QID3_4,4.0,4. The static ghost hand improved my timing and finger placement.
User16,Practice,Static,LearningExp,QID3_4,5.0,4. The static ghost hand improved my timing and finger placement.
User17,Practice,Static,LearningExp,QID3_4,3.0,4. The static ghost hand improved my timing and finger placement.
User18,Practice,Static,LearningExp,QID3_4,3.0,4. The static ghost hand improved my timing and finger placement.
User19,Practice,Static,LearningExp,QID3_4,3.0,4. The static ghost hand improved my timing and finger placement.
User20,Practice,Static,LearningExp,QID3_4,4.0,4. The static ghost hand improved my timing and finger placement.
User21,Practice,Static,LearningExp,QID3_4,4.0,4. The static ghost hand improved my timing and finger placement.
User22,Practice,Static,LearningExp,QID3_4,3.0,4. The static ghost hand improved my timing and finger placement.
User23,Practice,Static,LearningExp,QID3_4,2.0,4. The static ghost hand improved my timing and finger placement.
User24,Practice,Static,LearningExp,QID3_4,5.0,4. The static ghost hand improved my timing and finger placement.
User25,Practice,Static,LearningExp,QID3_4,4.0,4. The static ghost hand improved my timing and finger placement.
User26,Practice,Static,LearningExp,QID3_4,3.0,4. The static ghost hand improved my timing and finger placement.
User27,Practice,Static,LearningExp,QID3_4,4.0,4. The static ghost hand improved my timing and finger placement.
User28,Practice,Static,LearningExp,QID3_4,4.0,4. The static ghost hand improved my timing and finger placement.
User29,Practice,Static,LearningExp,QID3_4,4.0,4. The static ghost hand improved my timing and finger placement.
User30,Practice,Static,LearningExp,QID3_4,4.0,4. The static ghost hand improved my timing and finger placement.
User1,Practice,Static,LearningExp,QID3_5,3.0,5. The static ghost hand motivated me to continue learning.
User2,Practice,Static,LearningExp,QID3_5,5.0,5. The static ghost hand motivated me to continue learning.
User3,Practice,Static,LearningExp,QID3_5,3.0,5. The static ghost hand motivated me to continue learning.
User4,Practice,Static,LearningExp,QID3_5,5.0,5. The static ghost hand motivated me to continue learning.
User5,Practice,Static,LearningExp,QID3_5,3.0,5. The static ghost hand motivated me to continue learning.
User6,Practice,Static,LearningExp,QID3_5,2.0,5. The static ghost hand motivated me to continue learning.
User7,Practice,Static,LearningExp,QID3_5,3.0,5. The static ghost hand motivated me to continue learning.
User8,Practice,Static,LearningExp,QID3_5,3.0,5. The static ghost hand motivated me to continue learning.
User9,Practice,Static,LearningExp,QID3_5,3.0,5. The static ghost hand motivated me to continue learning.
User10,Practice,Static,LearningExp,QID3_5,3.0,5. The static ghost hand motivated me to continue learning.
User11,Practice,Static,LearningExp,QID3_5,3.0,5. The static ghost hand motivated me to continue learning.
User12,Practice,Static,LearningExp,QID3_5,5.0,5. The static ghost hand motivated me to continue learning.
User13,Practice,Static,LearningExp,QID3_5,4.0,5. The static ghost hand motivated me to continue learning.
User14,Practice,Static,LearningExp,QID3_5,5.0,5. The static ghost hand motivated me to continue learning.
User15,Practice,Static,LearningExp,QID3_5,5.0,5. The static ghost hand motivated me to continue learning.
User16,Practice,Static,LearningExp,QID3_5,3.0,5. The static ghost hand motivated me to continue learning.
User17,Practice,Static,LearningExp,QID3_5,3.0,5. The static ghost hand motivated me to continue learning.
User18,Practice,Static,LearningExp,QID3_5,4.0,5. The static ghost hand motivated me to continue learning.
User19,Practice,Static,LearningExp,QID3_5,2.0,5. The static ghost hand motivated me to continue learning.
User20,Practice,Static,LearningExp,QID3_5,4.0,5. The static ghost hand motivated me to continue learning.
User21,Practice,Static,LearningExp,QID3_5,4.0,5. The static ghost hand motivated me to continue learning.
User22,Practice,Static,LearningExp,QID3_5,3.0,5. The static ghost hand motivated me to continue learning.
User23,Practice,Static,LearningExp,QID3_5,5.0,5. The static ghost hand motivated me to continue learning.
User24,Practice,Static,LearningExp,QID3_5,3.0,5. The static ghost hand motivated me to continue learning.
User25,Practice,Static,LearningExp,QID3_5,3.0,5. The static ghost hand motivated me to continue learning.
User26,Practice,Static,LearningExp,QID3_5,3.0,5. The static ghost hand motivated me to continue learning.
User27,Practice,Static,LearningExp,QID3_5,4.0,5. The static ghost hand motivated me to continue learning.
User28,Practice,Static,LearningExp,QID3_5,5.0,5. The static ghost hand motivated me to continue learning.
User29,Practice,Static,LearningExp,QID3_5,3.0,5. The static ghost hand motivated me to continue learning.
User30,Practice,Static,LearningExp,QID3_5,4.0,5. The static ghost hand motivated me to continue learning.
User1,Practice,Static,LearningExp,QID3_6,3.0,6. The static ghost hand helped me stay focused while playing.
User2,Practice,Static,LearningExp,QID3_6,3.0,6. The static ghost hand helped me stay focused while playing.
User3,Practice,Static,LearningExp,QID3_6,3.0,6. The static ghost hand helped me stay focused while playing.
User4,Practice,Static,LearningExp,QID3_6,4.0,6. The static ghost hand helped me stay focused while playing.
User5,Practice,Static,LearningExp,QID3_6,4.0,6. The static ghost hand helped me stay focused while playing.
User6,Practice,Static,LearningExp,QID3_6,4.0,6. The static ghost hand helped me stay focused while playing.
User7,Practice,Static,LearningExp,QID3_6,3.0,6. The static ghost hand helped me stay focused while playing.
User8,Practice,Static,LearningExp,QID3_6,3.0,6. The static ghost hand helped me stay focused while playing.
User9,Practice,Static,LearningExp,QID3_6,4.0,6. The static ghost hand helped me stay focused while playing.
User10,Practice,Static,LearningExp,QID3_6,4.0,6. The static ghost hand helped me stay focused while playing.
User11,Practice,Static,LearningExp,QID3_6,3.0,6. The static ghost hand helped me stay focused while playing.
User12,Practice,Static,LearningExp,QID3_6,3.0,6. The static ghost hand helped me stay focused while playing.
User13,Practice,Static,LearningExp,QID3_6,4.0,6. The static ghost hand helped me stay focused while playing.
User14,Practice,Static,LearningExp,QID3_6,4.0,6. The static ghost hand helped me stay focused while playing.
User15,Practice,Static,LearningExp,QID3_6,5.0,6. The static ghost hand helped me stay focused while playing.
User16,Practice,Static,LearningExp,QID3_6,4.0,6. The static ghost hand helped me stay focused while playing.
User17,Practice,Static,LearningExp,QID3_6,3.0,6. The static ghost hand helped me stay focused while playing.
User18,Practice,Static,LearningExp,QID3_6,4.0,6. The static ghost hand helped me stay focused while playing.
User19,Practice,Static,LearningExp,QID3_6,4.0,6. The static ghost hand helped me stay focused while playing.
User20,Practice,Static,LearningExp,QID3_6,5.0,6. The static ghost hand helped me stay focused while playing.
User21,Practice,Static,LearningExp,QID3_6,5.0,6. The static ghost hand helped me stay focused while playing.
User22,Practice,Static,LearningExp,QID3_6,4.0,6. The static ghost hand helped me stay focused while playing.
User23,Practice,Static,LearningExp,QID3_6,3.0,6. The static ghost hand helped me stay focused while playing.
User24,Practice,Static,LearningExp,QID3_6,5.0,6. The static ghost hand helped me stay focused while playing.
User25,Practice,Static,LearningExp,QID3_6,3.0,6. The static ghost hand helped me stay focused while playing.
User26,Practice,Static,LearningExp,QID3_6,3.0,6. The static ghost hand helped me stay focused while playing.
User27,Practice,Static,LearningExp,QID3_6,4.0,6. The static ghost hand helped me stay focused while playing.
User28,Practice,Static,LearningExp,QID3_6,3.0,6. The static ghost hand helped me stay focused while playing.
User29,Practice,Static,LearningExp,QID3_6,4.0,6. The static ghost hand helped me stay focused while playing.
User30,Practice,Static,LearningExp,QID3_6,5.0,6. The static ghost hand helped me stay focused while playing.
User1,Practice,Static,LearningExp,QID3_7,3.0,7. The static ghost hand distracted me during playing.
User2,Practice,Static,LearningExp,QID3_7,3.0,7. The static ghost hand distracted me during playing.
User3,Practice,Static,LearningExp,QID3_7,3.0,7. The static ghost hand distracted me during playing.
User4,Practice,Static,LearningExp,QID3_7,2.0,7. The static ghost hand distracted me during playing.
User5,Practice,Static,LearningExp,QID3_7,3.0,7. The static ghost hand distracted me during playing.
User6,Practice,Static,LearningExp,QID3_7,4.0,7. The static ghost hand distracted me during playing.
User7,Practice,Static,LearningExp,QID3_7,4.0,7. The static ghost hand distracted me during playing.
User8,Practice,Static,LearningExp,QID3_7,2.0,7. The static ghost hand distracted me during playing.
User9,Practice,Static,LearningExp,QID3_7,5.0,7. The static ghost hand distracted me during playing.
User10,Practice,Static,LearningExp,QID3_7,3.0,7. The static ghost hand distracted me during playing.
User11,Practice,Static,LearningExp,QID3_7,5.0,7. The static ghost hand distracted me during playing.
User12,Practice,Static,LearningExp,QID3_7,3.0,7. The static ghost hand distracted me during playing.
User13,Practice,Static,LearningExp,QID3_7,2.0,7. The static ghost hand distracted me during playing.
User14,Practice,Static,LearningExp,QID3_7,3.0,7. The static ghost hand distracted me during playing.
User15,Practice,Static,LearningExp,QID3_7,5.0,7. The static ghost hand distracted me during playing.
User16,Practice,Static,LearningExp,QID3_7,5.0,7. The static ghost hand distracted me during playing.
User17,Practice,Static,LearningExp,QID3_7,3.0,7. The static ghost hand distracted me during playing.
User18,Practice,Static,LearningExp,QID3_7,4.0,7. The static ghost hand distracted me during playing.
User19,Practice,Static,LearningExp,QID3_7,2.0,7. The static ghost hand distracted me during playing.
User20,Practice,Static,LearningExp,QID3_7,4.0,7. The static ghost hand distracted me during playing.
User21,Practice,Static,LearningExp,QID3_7,2.0,7. The static ghost hand distracted me during playing.
User22,Practice,Static,LearningExp,QID3_7,3.0,7. The static ghost hand distracted me during playing.
User23,Practice,Static,LearningExp,QID3_7,2.0,7. The static ghost hand distracted me during playing.
User24,Practice,Static,LearningExp,QID3_7,4.0,7. The static ghost hand distracted me during playing.
User25,Practice,Static,LearningExp,QID3_7,5.0,7. The static ghost hand distracted me during playing.
User26,Practice,Static,LearningExp,QID3_7,2.0,7. The static ghost hand distracted me during playing.
User27,Practice,Static,LearningExp,QID3_7,4.0,7. The static ghost hand distracted me during playing.
User28,Practice,Static,LearningExp,QID3_7,4.0,7. The static ghost hand distracted me during playing.
User29,Practice,Static,LearningExp,QID3_7,2.0,7. The static ghost hand distracted me during playing.
User30,Practice,Static,LearningExp,QID3_7,4.0,7. The static ghost hand distracted me during playing.
User1,Practice,Dynamic,LearningExp,QID28_1,4.0,1. The dynamic ghost hand helped me understand how to play the melody.
User2,Practice,Dynamic,LearningExp,QID28_1,5.0,1. The dynamic ghost hand helped me understand how to play the melody.
User3,Practice,Dynamic,LearningExp,QID28_1,5.0,1. The dynamic ghost hand helped me understand how to play the melody.
User4,Practice,Dynamic,LearningExp,QID28_1,5.0,1. The dynamic ghost hand helped me understand how to play the melody.
User5,Practice,Dynamic,LearningExp,QID28_1,4.0,1. The dynamic ghost hand helped me understand how to play the melody.
User6,Practice,Dynamic,LearningExp,QID28_1,5.0,1. The dynamic ghost hand helped me understand how to play the melody.
User7,Practice,Dynamic,LearningExp,QID28_1,5.0,1. The dynamic ghost hand helped me understand how to play the melody.
User8,Practice,Dynamic,LearningExp,QID28_1,5.0,1. The dynamic ghost hand helped me understand how to play the melody.
User9,Practice,Dynamic,LearningExp,QID28_1,5.0,1. The dynamic ghost hand helped me understand how to play the melody.
User10,Practice,Dynamic,LearningExp,QID28_1,4.0,1. The dynamic ghost hand helped me understand how to play the melody.
User11,Practice,Dynamic,LearningExp,QID28_1,5.0,1. The dynamic ghost hand helped me understand how to play the melody.
User12,Practice,Dynamic,LearningExp,QID28_1,5.0,1. The dynamic ghost hand helped me understand how to play the melody.
User13,Practice,Dynamic,LearningExp,QID28_1,5.0,1. The dynamic ghost hand helped me understand how to play the melody.
User14,Practice,Dynamic,LearningExp,QID28_1,4.0,1. The dynamic ghost hand helped me understand how to play the melody.
User15,Practice,Dynamic,LearningExp,QID28_1,5.0,1. The dynamic ghost hand helped me understand how to play the melody.
User16,Practice,Dynamic,LearningExp,QID28_1,4.0,1. The dynamic ghost hand helped me understand how to play the melody.
User17,Practice,Dynamic,LearningExp,QID28_1,4.0,1. The dynamic ghost hand helped me understand how to play the melody.
User18,Practice,Dynamic,LearningExp,QID28_1,5.0,1. The dynamic ghost hand helped me understand how to play the melody.
User19,Practice,Dynamic,LearningExp,QID28_1,5.0,1. The dynamic ghost hand helped me understand how to play the melody.
User20,Practice,Dynamic,LearningExp,QID28_1,4.0,1. The dynamic ghost hand helped me understand how to play the melody.
User21,Practice,Dynamic,LearningExp,QID28_1,5.0,1. The dynamic ghost hand helped me understand how to play the melody.
User22,Practice,Dynamic,LearningExp,QID28_1,4.0,1. The dynamic ghost hand helped me understand how to play the melody.
User23,Practice,Dynamic,LearningExp,QID28_1,5.0,1. The dynamic ghost hand helped me understand how to play the melody.
User24,Practice,Dynamic,LearningExp,QID28_1,3.0,1. The dynamic ghost hand helped me understand how to play the melody.
User25,Practice,Dynamic,LearningExp,QID28_1,3.0,1. The dynamic ghost hand helped me understand how to play the melody.
User26,Practice,Dynamic,LearningExp,QID28_1,4.0,1. The dynamic ghost hand helped me understand how to play the melody.
User27,Practice,Dynamic,LearningExp,QID28_1,4.0,1. The dynamic ghost hand helped me understand how to play the melody.
User28,Practice,Dynamic,LearningExp,QID28_1,5.0,1. The dynamic ghost hand helped me understand how to play the melody.
User29,Practice,Dynamic,LearningExp,QID28_1,5.0,1. The dynamic ghost hand helped me understand how to play the melody.
User30,Practice,Dynamic,LearningExp,QID28_1,5.0,1. The dynamic ghost hand helped me understand how to play the melody.
User1,Practice,Dynamic,LearningExp,QID28_2,4.0,2. The dynamic ghost hand's finger motion was easy to follow.
User2,Practice,Dynamic,LearningExp,QID28_2,5.0,2. The dynamic ghost hand's finger motion was easy to follow.
User3,Practice,Dynamic,LearningExp,QID28_2,4.0,2. The dynamic ghost hand's finger motion was easy to follow.
User4,Practice,Dynamic,LearningExp,QID28_2,4.0,2. The dynamic ghost hand's finger motion was easy to follow.
User5,Practice,Dynamic,LearningExp,QID28_2,4.0,2. The dynamic ghost hand's finger motion was easy to follow.
User6,Practice,Dynamic,LearningExp,QID28_2,5.0,2. The dynamic ghost hand's finger motion was easy to follow.
User7,Practice,Dynamic,LearningExp,QID28_2,4.0,2. The dynamic ghost hand's finger motion was easy to follow.
User8,Practice,Dynamic,LearningExp,QID28_2,4.0,2. The dynamic ghost hand's finger motion was easy to follow.
User9,Practice,Dynamic,LearningExp,QID28_2,5.0,2. The dynamic ghost hand's finger motion was easy to follow.
User10,Practice,Dynamic,LearningExp,QID28_2,4.0,2. The dynamic ghost hand's finger motion was easy to follow.
User11,Practice,Dynamic,LearningExp,QID28_2,4.0,2. The dynamic ghost hand's finger motion was easy to follow.
User12,Practice,Dynamic,LearningExp,QID28_2,5.0,2. The dynamic ghost hand's finger motion was easy to follow.
User13,Practice,Dynamic,LearningExp,QID28_2,5.0,2. The dynamic ghost hand's finger motion was easy to follow.
User14,Practice,Dynamic,LearningExp,QID28_2,4.0,2. The dynamic ghost hand's finger motion was easy to follow.
User15,Practice,Dynamic,LearningExp,QID28_2,5.0,2. The dynamic ghost hand's finger motion was easy to follow.
User16,Practice,Dynamic,LearningExp,QID28_2,4.0,2. The dynamic ghost hand's finger motion was easy to follow.
User17,Practice,Dynamic,LearningExp,QID28_2,4.0,2. The dynamic ghost hand's finger motion was easy to follow.
User18,Practice,Dynamic,LearningExp,QID28_2,5.0,2. The dynamic ghost hand's finger motion was easy to follow.
User19,Practice,Dynamic,LearningExp,QID28_2,5.0,2. The dynamic ghost hand's finger motion was easy to follow.
User20,Practice,Dynamic,LearningExp,QID28_2,4.0,2. The dynamic ghost hand's finger motion was easy to follow.
User21,Practice,Dynamic,LearningExp,QID28_2,4.0,2. The dynamic ghost hand's finger motion was easy to follow.
User22,Practice,Dynamic,LearningExp,QID28_2,4.0,2. The dynamic ghost hand's finger motion was easy to follow.
User23,Practice,Dynamic,LearningExp,QID28_2,4.0,2. The dynamic ghost hand's finger motion was easy to follow.
User24,Practice,Dynamic,LearningExp,QID28_2,2.0,2. The dynamic ghost hand's finger motion was easy to follow.
User25,Practice,Dynamic,LearningExp,QID28_2,3.0,2. The dynamic ghost hand's finger motion was easy to follow.
User26,Practice,Dynamic,LearningExp,QID28_2,4.0,2. The dynamic ghost hand's finger motion was easy to follow.
User27,Practice,Dynamic,LearningExp,QID28_2,4.0,2. The dynamic ghost hand's finger motion was easy to follow.
User28,Practice,Dynamic,LearningExp,QID28_2,4.0,2. The dynamic ghost hand's finger motion was easy to follow.
User29,Practice,Dynamic,LearningExp,QID28_2,5.0,2. The dynamic ghost hand's finger motion was easy to follow.
User30,Practice,Dynamic,LearningExp,QID28_2,4.0,2. The dynamic ghost hand's finger motion was easy to follow.
User1,Practice,Dynamic,LearningExp,QID28_3,5.0,3. Following the dynamic ghost hand made the learning process easier.
User2,Practice,Dynamic,LearningExp,QID28_3,5.0,3. Following the dynamic ghost hand made the learning process easier.
User3,Practice,Dynamic,LearningExp,QID28_3,5.0,3. Following the dynamic ghost hand made the learning process easier.
User4,Practice,Dynamic,LearningExp,QID28_3,5.0,3. Following the dynamic ghost hand made the learning process easier.
User5,Practice,Dynamic,LearningExp,QID28_3,5.0,3. Following the dynamic ghost hand made the learning process easier.
User6,Practice,Dynamic,LearningExp,QID28_3,5.0,3. Following the dynamic ghost hand made the learning process easier.
User7,Practice,Dynamic,LearningExp,QID28_3,4.0,3. Following the dynamic ghost hand made the learning process easier.
User8,Practice,Dynamic,LearningExp,QID28_3,3.0,3. Following the dynamic ghost hand made the learning process easier.
User9,Practice,Dynamic,LearningExp,QID28_3,4.0,3. Following the dynamic ghost hand made the learning process easier.
User10,Practice,Dynamic,LearningExp,QID28_3,3.0,3. Following the dynamic ghost hand made the learning process easier.
User11,Practice,Dynamic,LearningExp,QID28_3,4.0,3. Following the dynamic ghost hand made the learning process easier.
User12,Practice,Dynamic,LearningExp,QID28_3,5.0,3. Following the dynamic ghost hand made the learning process easier.
User13,Practice,Dynamic,LearningExp,QID28_3,5.0,3. Following the dynamic ghost hand made the learning process easier.
User14,Practice,Dynamic,LearningExp,QID28_3,5.0,3. Following the dynamic ghost hand made the learning process easier.
User15,Practice,Dynamic,LearningExp,QID28_3,5.0,3. Following the dynamic ghost hand made the learning process easier.
User16,Practice,Dynamic,LearningExp,QID28_3,5.0,3. Following the dynamic ghost hand made the learning process easier.
User17,Practice,Dynamic,LearningExp,QID28_3,4.0,3. Following the dynamic ghost hand made the learning process easier.
User18,Practice,Dynamic,LearningExp,QID28_3,5.0,3. Following the dynamic ghost hand made the learning process easier.
